,owner,culture,religion,hre,base_tax,base_production,trade_goods,base_manpower,capital,is_city,center_of_trade,name,id,trade_node
1945,TUR,bulgarian,orthodox,no,3,3,grain,3,Plovdiv,yes,0,Plovdiv,2750,constantinople
1946,SPA,castillian,catholic,no,4,4,wool,3,Cuenca,yes,0,Cuenca,2751,sevilla
1947,NOR,norwegian,catholic,no,1,1,fish,1,Molde,yes,0,Sogn,2752,north_sea
1948,FRA,occitain,catholic,no,5,5,wine,3,Narbonne,yes,0,Narbonne,2753,valencia
1949,SPA,castillian,catholic,no,3,3,,3,LaMancha,yes,0,LaMancha,2754,sevilla
1950,SPA,castillian,catholic,no,2,2,wool,1,Soria,yes,0,Soria,2755,sevilla
1951,WLY,sidamo,shamanism,no,2,2,coffee,2,Bonga,yes,0,Welayta,2756,ethiopia
1952,KAF,sidamo,coptic,no,4,3,gold,4,Anderaccha,yes,0,Kaffa,2757,ethiopia
1953,ENA,sidamo,coptic,no,2,3,slaves,2,Illubabor,yes,0,Illubabor,2758,ethiopia
1954,KAF,sidamo,Unowned,no,1,1,slaves,1,Gambela,yes,0,Gambela,2759,ethiopia
1955,LIT,byelorussian,orthodox,no,3,3,naval_supplies,1,Minsk,yes,0,Minsk,276,kiev
1956,HDY,sidamo,sunni,no,3,3,grain,2,Angacha,yes,0,Hadiya,2760,ethiopia
1957,HDY,amhara,sunni,no,1,1,coffee,2,Assela,yes,0,Arsi,2761,ethiopia
1958,DAM,amhara,coptic,no,2,3,gold,2,Nekemte,yes,0,Damot,2762,ethiopia
1959,DAM,amhara,coptic,no,2,2,slaves,2,Assosa,yes,0,Asosa,2763,ethiopia
1960,ADA,afar,sunni,no,2,1,livestock,2,Aussa,yes,0,Aussa,2764,gulf_of_aden
1961,ADA,afar,sunni,no,1,1,livestock,1,Assab,yes,0,Assab,2765,gulf_of_aden
1962,MED,tigray,coptic,no,2,2,grain,2,Mendefera,yes,0,Mendefera,2766,ethiopia
1963,ETH,tigray,coptic,no,1,1,copper,2,Antalo,yes,0,Enderta,2767,ethiopia
1964,ETH,afar,sunni,no,1,1,livestock,1,Manadeley,yes,0,Angot,2768,gulf_of_aden
1965,ETH,amhara,coptic,no,2,2,grain,2,Lalibela,yes,0,Lasta,2769,ethiopia
1966,LIT,byelorussian,orthodox,no,2,2,wool,2,Brest-Litovsk,yes,0,Brest,277,kiev
1967,ETH,amhara,coptic,no,2,2,grain,1,Dangila,yes,0,Agew,2770,ethiopia
1968,ETH,amhara,jewish,no,1,1,grain,2,Dabareq,yes,0,Semien,2771,ethiopia
1969,ETH,amhara,jewish,no,2,2,cotton,2,Gorgora,yes,0,Dembiya,2772,ethiopia
1970,ADA,harari,sunni,no,1,1,coffee,1,Mora,yes,0,Mora,2773,gulf_of_aden
1971,AJU,somali,sunni,no,2,2,fish,2,Kismayo,yes,0,Kismayo,2774,zanzibar
1972,AJU,somali,sunni,no,2,2,naval_supplies,1,Merca,yes,0,Merca,2775,gulf_of_aden
1973,AJU,somali,sunni,no,1,1,grain,1,Afgooye,yes,0,Afgooye,2776,ethiopia
1974,AJU,somali,sunni,no,1,1,grain,1,Baardheere,yes,0,Bardera,2777,ethiopia
1975,MRE,somali,sunni,no,1,1,slaves,1,Wardheer,yes,0,Werder,2778,ethiopia
1976,OGD,somali,sunni,no,1,1,livestock,1,Afder,no,0,Afder,2779,ethiopia
1977,LIT,byelorussian,orthodox,no,3,2,wool,1,Pinsk,yes,0,Pinsk,278,kiev
1978,AJU,somali,sunni,no,1,1,livestock,1,Qardho,yes,0,Beledweyne,2780,ethiopia
1979,AJU,somali,sunni,no,1,1,grain,1,Luuq,yes,0,Gedo,2781,ethiopia
1980,MDI,somali,sunni,no,2,2,livestock,1,Warsheikh,yes,0,Warsheikh,2782,gulf_of_aden
1981,AJU,somali,sunni,no,1,1,grain,1,Hobyo,yes,1,Hobyo,2783,gulf_of_aden
1982,MRE,somali,sunni,no,1,1,livestock,1,Galkayo,yes,0,Galkayo,2784,gulf_of_aden
1983,AJU,somali,sunni,no,1,1,iron,1,ElBuur,yes,0,ElBuur,2785,ethiopia
1984,WAR,somali,sunni,no,3,3,incense,2,Bosaso,yes,0,Bosaso,2786,gulf_of_aden
1985,MED,tigray,coptic,no,2,2,grain,2,Debarwa,yes,0,Hamasien,2787,gulf_of_aden
1986,MRE,somali,sunni,no,2,2,,1,Hafun,yes,0,Hafun,2788,gulf_of_aden
1987,WAR,somali,sunni,no,2,2,incense,1,LasKhorey,yes,0,LasKhorey,2789,gulf_of_aden
1988,LIT,ruthenian,orthodox,no,4,4,livestock,2,Volodymyr,yes,0,Volhynia,279,kiev
1989,WAR,somali,sunni,no,1,1,incense,0,Maydh,yes,0,Sanaag,2790,gulf_of_aden
1990,ETH,amhara,sunni,no,1,1,grain,1,Ankober,yes,0,Ankober,2791,ethiopia
1991,WAR,somali,sunni,no,1,1,slaves,1,Togdheer,yes,0,Togdheer,2792,gulf_of_aden
1992,ADA,somali,sunni,no,2,2,slaves,2,Hargeisa,yes,0,Hargeisa,2793,gulf_of_aden
1993,AJU,somali,sunni,no,2,2,livestock,1,Barawa,yes,0,Barawa,2794,gulf_of_aden
1994,AJU,somali,sunni,no,2,2,livestock,1,Mareeg,yes,0,Meregh,2795,gulf_of_aden
1995,PTE,swahili,sunni,no,3,3,cloth,2,Siyu,yes,1,Pate,2796,zanzibar
1996,ABB,nubian,sunni,no,1,1,grain,2,Shendy,yes,0,Shendy,2797,ethiopia
1997,ALO,nubian,coptic,no,3,2,grain,2,Soba,yes,2,Soba,2798,ethiopia
1998,ALO,nubian,coptic,no,1,1,livestock,2,Sennar,yes,0,Sennar,2799,ethiopia
1999,SWE,finnish,catholic,no,2,2,naval_supplies,2,Borgå,yes,0,Nyland,28,baltic_sea
2000,LIT,ruthenian,orthodox,no,4,4,grain,2,Kiev,yes,2,Kiev,280,kiev
2001,NUB,nubian,Unowned,no,1,1,unknown,1,Kosti,yes,0,Kosti,2800,ethiopia
2002,DAR,tunjur,Unowned,no,1,1,unknown,1,Medowa,yes,0,Medwa,2801,ethiopia
2003,DAR,tunjur,Unowned,no,1,1,unknown,1,Kobbe,yes,0,Kobbe,2802,ethiopia
2004,SPA,carib,animism,no,2,1,unknown,1,Delta,yes,0,Delta,2803,amazonas_node
2005,SPA,carib,animism,no,1,1,unknown,1,Guasipati,yes,0,Guasipati,2804,amazonas_node
2006,CAB,carib,animism,no,1,1,coffee,1,Uyapari,yes,0,Uyapari,2805,carribean_trade
2007,SPA,guajiro,animism,no,1,1,unknown,1,Guajira,no,0,Guajira,2806,panama
2008,SPA,carib,animism,no,3,3,unknown,1,Altagracia,no,0,Altagracia,2807,carribean_trade
2009,SPA,guajiro,animism,no,1,1,unknown,1,Coro,yes,0,Coro,2808,carribean_trade
2010,SPA,guajiro,animism,no,1,2,unknown,1,Calaboso,yes,0,Llanos,2809,carribean_trade
2011,POL,ruthenian,orthodox,no,2,2,livestock,2,Kamieniec,yes,0,Kamienec,281,kiev
2012,SPA,guajiro,animism,no,1,1,unknown,1,Apure,yes,0,Apure,2810,carribean_trade
2013,SPA,guajiro,animism,no,1,1,unknown,1,Atabapo,yes,0,Atabapo,2811,amazonas_node
2014,SPA,carib,animism,no,1,1,unknown,1,Pore,yes,0,Pore,2812,panama
2015,SPA,carib,animism,no,2,3,unknown,1,Merida,yes,0,Merida,2813,carribean_trade
2016,SPA,carib,animism,no,1,1,unknown,1,Meta,yes,0,Meta,2814,panama
2017,SPA,guajiro,animism,no,1,1,unknown,1,PuertoCarreno,yes,0,PuertoCarreno,2815,panama
2018,SPA,guajiro,animism,no,1,1,unknown,1,Guaviare,yes,0,Guavire,2816,panama
2019,SPA,muisca,inti,no,4,4,unknown,2,Neiva,no,0,Neiva,2817,panama
2020,SPA,muisca,inti,no,2,2,unknown,1,Popayan,yes,0,Popayan,2818,panama
2021,CAS,muisca,animism,no,1,1,unknown,1,Darien,yes,0,Darien,2819,panama
2022,CRI,crimean,sunni,no,2,2,livestock,1,Hajibey,yes,0,Yedisan,282,crimea
2023,QTO,cara,inti,no,3,3,fish,1,Esmeraldas,yes,0,Esmeraldas,2820,lima
2024,CHM,chimuan,inti,no,1,1,fish,1,Piwra,yes,0,Piwra,2821,lima
2025,CHM,chimuan,inti,no,1,1,cloth,1,Tucume,yes,0,Tucume,2822,lima
2026,CYA,chachapoyan,inti,no,1,1,tropical_wood,1,Moyobamba,yes,0,Moyobamba,2823,lima
2027,CJA,inca,inti,no,3,3,wool,2,Wankapampa,yes,0,Wankapampa,2824,lima
2028,HJA,inca,inti,no,1,1,grain,1,Pisqupampa,yes,0,Pisqupampa,2825,lima
2029,CHM,chimuan,inti,no,1,1,cocoa,1,Chimbote,yes,0,Chimbote,2826,lima
2030,HJA,inca,inti,no,2,2,grain,1,Huaraz,yes,0,Huaraz,2827,lima
2031,INC,aimara,inti,no,2,2,unknown,1,Camana,yes,0,Camana,2828,lima
2032,CSU,aimara,inti,no,3,3,wool,2,Ayaviri,yes,0,Ayaviri,2829,lima
2033,CRI,crimean,sunni,no,1,1,livestock,2,Sich,yes,0,Zaporozhia,283,crimea
2034,CSU,inca,inti,no,1,1,wool,1,Quero,yes,0,Quero,2830,lima
2035,PCJ,aimara,inti,no,3,3,grain,2,Tiahuanoco,yes,0,Tiahuanaco,2831,cuiaba
2036,SPA,maipurean,animism,no,1,1,unknown,1,Exaltacion,yes,0,Exaltacion,2832,cuiaba
2037,SPA,maipurean,animism,no,1,1,unknown,1,MadredeDios,yes,0,MadredeDios,2833,cuiaba
2038,SPA,guarani,animism,no,3,3,unknown,1,SantaCruzdelaSierra,yes,0,SantaCruzdelaSierra,2834,cuiaba
2039,CRA,aimara,inti,no,4,4,cloth,1,Sucre,yes,0,Sucre,2835,cuiaba
2040,INC,diaguita,animism,no,4,4,unknown,2,Tucuman,yes,0,Tucuman,2836,cuiaba
2041,CCQ,diaguita,inti,no,1,1,wool,1,SantaCatalina,yes,0,SantaCatalina,2837,cuiaba
2042,CCQ,aimara,inti,no,3,3,wool,1,Tarija,yes,0,Tarija,2838,cuiaba
2043,INC,diaguita,animism,no,1,1,unknown,1,Catarpe,yes,0,PunadeAtacama,2839,cuiaba
2044,CRI,crimean,sunni,no,6,6,salt,6,Qirq-Yer,yes,0,Crimea,284,crimea
2045,INC,diaguita,animism,no,1,1,unknown,1,Calama,yes,0,Calama,2840,cuiaba
2046,INC,diaguita,animism,no,1,1,unknown,1,Antofagasta,yes,0,Antofagasta,2841,cuiaba
2047,SPA,diaguita,animism,no,2,1,unknown,1,SantiagodelEstero,no,0,SantiagodelEstero,2842,cuiaba
2048,INC,huarpe,animism,no,2,3,unknown,1,LaRioja,yes,0,LaRioja,2843,laplata
2049,SPA,huarpe,animism,no,1,2,unknown,1,Chepes,yes,0,Chepes,2844,laplata
2050,SPA,huarpe,animism,no,1,2,unknown,1,SanJuan,yes,0,SanJuan,2845,laplata
2051,SPA,huarpe,animism,no,2,1,unknown,1,Cordoba,no,1,Quisquisacate,2846,laplata
2052,SPA,huarpe,animism,no,2,1,unknown,1,SanLuis,yes,0,SanLuis,2847,laplata
2053,SPA,charruan,animism,no,2,1,unknown,1,SantaFe,yes,0,SantaFe,2848,laplata
2054,SPA,charruan,animism,no,1,1,unknown,1,Rosario,yes,0,Rosario,2849,laplata
2055,GEN,pontic_greek,orthodox,no,4,4,wine,2,Kaffa,yes,2,Kaffa,285,crimea
2056,SPA,charruan,animism,no,2,1,unknown,1,Montevideo,no,0,Montevideo,2850,laplata
2057,POR,charruan,animism,no,1,1,unknown,1,Colonia,yes,0,Colonia,2851,laplata
2058,POR,charruan,animism,no,1,1,unknown,1,Salto,yes,0,Salto,2852,laplata
2059,SPA,guarani,animism,no,2,1,unknown,1,Yareyu,no,0,Yareyu,2853,laplata
2060,SPA,chacoan,animism,no,1,1,unknown,1,ChacoCentral,yes,0,ChacoCentral,2854,laplata
2061,GUA,guarani,animism,no,1,1,unknown,1,Candelaria,yes,0,Misiones,2855,laplata
2062,Unowned,nguni,Unowned,no,2,2,unknown,1,Bloemfontein,no,0,Highveld,2856,cape_of_good_hope
2063,POR,guarani,animism,no,2,1,unknown,1,RioGrandedoSul,yes,0,RioGrandedoSul,2857,laplata
2064,SPA,guarani,animism,no,1,1,unknown,1,Santiago,no,0,Santiago,2858,laplata
2065,GUA,guarani,animism,no,1,1,unknown,1,Itapúa,yes,0,Itapua,2859,laplata
2066,GEN,crimean,sunni,no,3,3,slaves,3,Tana,yes,0,Azow,286,crimea
2067,SPA,het,animism,no,1,1,unknown,1,Querandi,yes,0,Querandi,2860,laplata
2068,SPA,het,animism,no,1,1,unknown,1,Sauce,yes,0,Sauce,2861,laplata
2069,INC,mapuche,animism,no,2,1,unknown,1,Coquimbo,yes,0,Coquimbo,2862,patagonia
2070,Unowned,het,animism,no,1,1,unknown,1,RioNegro,no,0,RioNegro,2863,patagonia
2071,Unowned,khoisan,Unowned,no,1,1,unknown,1,Senqu,no,0,Senqu,2864,cape_of_good_hope
2072,Unowned,het,animism,no,1,1,unknown,1,Puelches,no,0,Sergpipe,2865,laplata
2073,Unowned,het,animism,no,1,1,unknown,1,Olavarria,no,0,Jeremoabo,2866,laplata
2074,Unowned,het,animism,no,1,1,unknown,1,Chanar,no,0,Inhambupe,2867,patagonia
2075,Unowned,het,animism,no,1,1,unknown,1,Bahia,no,1,Pambu,2868,patagonia
2076,Unowned,patagonian,animism,no,1,1,unknown,1,FloridaBlanca,no,0,FloridaBlanca,2869,patagonia
2077,CRI,crimean,sunni,no,3,3,livestock,3,Stavropol,yes,0,Kouban,287,crimea
2078,Unowned,patagonian,animism,no,1,1,unknown,1,Tehuelmapu,no,0,Tehuelmapu,2870,patagonia
2079,Unowned,patagonian,animism,no,1,1,unknown,1,Poya,no,0,Poya,2871,patagonia
2080,SPA,castillian,animism,no,2,1,unknown,1,Chiquiyami,yes,0,Chiquiyami,2872,patagonia
2081,SPA,mapuche,animism,no,1,1,unknown,1,Chiloe,yes,0,Chiloe,2873,patagonia
2082,SPA,patagonian,animism,no,1,1,unknown,1,Alacaluf,yes,0,Alegoas,2874,patagonia
2083,Unowned,patagonian,animism,no,1,1,unknown,1,Chubut,no,0,Borborema,2875,patagonia
2084,Unowned,patagonian,animism,no,1,1,unknown,1,Teush,no,0,Teush,2876,patagonia
2085,SPA,huarpe,animism,no,2,3,unknown,1,Mendoza,yes,0,Mendoza,2877,laplata
2086,SPA,chacoan,animism,no,1,1,unknown,1,Matara,yes,0,Matara,2878,laplata
2087,GUA,guarani,animism,no,1,1,unknown,1,SantaTecla,yes,0,SantaTecla,2879,laplata
2088,GOL,mishary,sunni,no,3,3,livestock,2,Cherkassk,yes,0,Cherkassk,288,astrakhan
2089,Unowned,khoisan,Unowned,no,1,1,unknown,1,Kimberley,no,0,Griqualand,2880,cape_of_good_hope
2090,SPA,maipurean,animism,no,1,2,unknown,1,Corumba,yes,0,Corumba,2881,brazil
2091,SPA,chacoan,animism,no,1,1,unknown,1,FuerteBorbon,yes,0,FuerteBorbon,2882,cuiaba
2092,SPA,chacoan,animism,no,1,1,unknown,1,Melodia,yes,0,Melodia,2883,cuiaba
2093,GUA,guarani,animism,no,1,1,tea,1,PovosdasMissoes,yes,0,PovosdasMissoes,2884,laplata
2094,POR,ge,animism,no,2,3,unknown,1,Barra,yes,0,Barra,2885,brazil
2095,POR,ge,animism,no,1,1,unknown,1,Parnaiba,yes,0,Parnaiba,2886,amazonas_node
2096,POR,guarani,animism,no,1,1,unknown,1,SantaCatarina,yes,0,SantaCatarina,2887,laplata
2097,POR,ge,animism,no,2,1,unknown,1,Cuiaba,yes,0,Cuiaba,2888,cuiaba
2098,SPA,carib,animism,no,1,1,unknown,1,RioBranco,yes,0,RioBranco,2889,amazonas_node
2099,LIT,ryazanian,orthodox,no,2,2,iron,1,Chernigov,yes,0,Chernigov,289,kiev
2100,POR,tupinamba,animism,no,1,1,unknown,1,Marajo,yes,0,Marajo,2890,amazonas_node
2101,POR,ge,animism,no,1,1,unknown,1,SantaAnadasMinas,yes,0,SantaAnadasMinas,2891,brazil
2102,POR,ge,animism,no,2,1,unknown,1,Araxas,yes,0,Araxas,2892,brazil
2103,POR,ge,animism,no,1,1,unknown,1,Ofaie,yes,0,Ofaie,2893,brazil
2104,POR,tupinamba,animism,no,1,1,unknown,1,SaoJoaodelRei,yes,0,SaoJoaodelRei,2894,brazil
2105,POR,guarani,animism,no,1,1,unknown,1,Castro,yes,0,Castro,2895,brazil
2106,Unowned,tupinamba,animism,no,1,1,unknown,1,Campinas,yes,0,Campinas,2896,brazil
2107,POR,ge,animism,no,1,1,unknown,1,Araquara,no,0,Araraquara,2897,brazil
2108,POR,ge,animism,no,1,1,unknown,1,Serro,yes,0,Serro,2898,brazil
2109,POR,ge,animism,no,2,3,unknown,1,VilaRica,yes,0,VilaRica,2899,brazil
2110,SWE,finnish,catholic,no,1,1,fur,1,Tavastehus,yes,0,Tavastland,29,baltic_sea
2111,LIT,ruthenian,orthodox,no,2,2,grain,1,Poltava,yes,0,Poltava,290,kiev
2112,POR,maipurean,animism,no,1,1,unknown,1,Guapore,yes,0,Guapore,2900,cuiaba
2113,POR,maipurean,animism,no,1,1,unknown,1,Cerejeiras,yes,0,Cerejeiras,2901,cuiaba
2114,POR,guarani,animism,no,1,1,unknown,1,VilaBela,yes,0,VilaBela,2902,cuiaba
2115,POR,maipurean,animism,no,2,2,unknown,1,Caceres,yes,0,Caceres,2903,cuiaba
2116,POR,carib,animism,no,1,1,unknown,1,Diamantino,yes,0,Diamantino,2904,cuiaba
2117,POR,ge,animism,no,1,1,unknown,1,Araes,yes,0,RioDasMortes,2905,cuiaba
2118,POR,ge,animism,no,1,1,unknown,1,Ipora,yes,0,Ipora,2906,brazil
2119,POR,ge,animism,no,1,1,unknown,1,VilaBoa,yes,0,VilaBoa,2907,brazil
2120,POR,ge,animism,no,1,1,unknown,1,ArrialdosCouros,yes,0,ArrialdosCouros,2908,brazil
2121,POR,ge,animism,no,1,1,unknown,1,Conceicao,yes,0,Conceicao,2909,amazonas_node
2122,CRI,ryazanian,orthodox,no,2,2,iron,1,Belgorod,yes,0,Kharkov,291,kiev
2123,POR,ge,animism,no,1,1,unknown,1,Pontal,yes,0,Pontal,2910,amazonas_node
2124,POR,ge,animism,no,1,1,unknown,1,Natividad,yes,0,Natividad,2911,amazonas_node
2125,POR,tupinamba,animism,no,2,4,unknown,1,Sergipe,yes,0,Sergpipe,2912,brazil
2126,POR,ge,animism,no,1,3,unknown,1,Jeremoabo,yes,0,Jeremoabo,2913,brazil
2127,POR,ge,animism,no,1,1,unknown,1,Inhambupe,yes,0,Inhambupe,2914,brazil
2128,POR,ge,animism,no,2,1,unknown,1,Pambu,yes,0,Pambu,2915,brazil
2129,TPQ,tupinamba,animism,no,1,1,unknown,1,Coité,yes,0,RioContas,2916,brazil
2130,POR,ge,animism,no,1,1,unknown,1,Paratinga,yes,0,Paratinga,2917,brazil
2131,POR,ge,animism,no,1,1,unknown,1,CampoLargo,yes,0,CampoLargo,2918,brazil
2132,POR,ge,animism,no,1,1,unknown,1,Luziana,yes,0,Luziana,2919,brazil
2133,LIT,byelorussian,orthodox,no,2,2,wool,1,Mahilyow,yes,0,Mogilyov,292,kiev
2134,POR,ge,animism,no,1,1,unknown,1,Coxim,yes,0,Coxim,2920,brazil
2135,POR,tupinamba,animism,no,2,3,unknown,1,Penedo,yes,0,Alagoas,2921,brazil
2136,POR,ge,animism,no,1,1,unknown,1,Cimbres,yes,0,Borborema,2922,brazil
2137,POR,ge,animism,no,1,1,unknown,1,PastosBons,yes,0,PastosBons,2923,amazonas_node
2138,POR,ge,animism,no,1,1,unknown,1,Timon,yes,0,Timon,2924,amazonas_node
2139,POR,ge,animism,no,1,1,unknown,1,Parnagua,yes,0,Parnagua,2925,amazonas_node
2140,POR,ge,animism,no,1,1,unknown,1,Grajau,yes,0,Grajau,2926,amazonas_node
2141,POR,ge,animism,no,1,2,unknown,1,Alcantara,yes,0,Alcantara,2927,amazonas_node
2142,POR,tupinamba,animism,no,1,1,unknown,1,Tucurui,yes,0,Tucurui,2928,amazonas_node
2143,POR,tupinamba,animism,no,1,1,unknown,1,Portel,yes,0,Para,2929,amazonas_node
2144,SMO,ryazanian,orthodox,no,4,4,grain,1,Smolensk,yes,2,Smolensk,293,kiev
2145,POR,tupinamba,animism,no,2,1,unknown,1,Santarem,yes,0,Santarem,2930,amazonas_node
2146,GBR,carib,animism,no,1,1,unknown,1,Pirara,yes,0,Alenquer,2931,amazonas_node
2147,WAD,tunjur,Unowned,no,1,1,unknown,1,Ouara,no,0,Obidos,2932,ethiopia
2148,POR,carib,animism,no,1,1,unknown,1,Barcelos,yes,0,Faro,2933,amazonas_node
2149,POR,tupinamba,animism,no,2,1,unknown,1,Manaus,yes,1,Manaus,2934,amazonas_node
2150,POR,tupinamba,animism,no,1,1,unknown,1,Muturu,yes,0,Muturu,2935,amazonas_node
2151,Unowned,Unowned,Unowned,no,0,0,,0,Guyana,no,0,Guyana,2936,amazonas_node
2152,SPA,carib,animism,no,1,1,unknown,1,Suriname,yes,0,Suriname,2937,amazonas_node
2153,POR,guajiro,animism,no,1,1,unknown,1,Oiapoque,yes,0,Oiapoque,2938,amazonas_node
2154,SPA,carib,animism,no,2,1,unknown,1,Zaraza,yes,0,Zaraza,2939,carribean_trade
2155,TVE,russian,orthodox,no,4,4,grain,3,Tver,yes,0,Tver,294,
2156,PCJ,aimara,inti,no,2,2,salt,1,Chichas,yes,0,Chichas,2940,cuiaba
2157,CRA,aimara,inti,no,2,2,gold,1,Choquechaca,yes,0,Choquechaca,2941,cuiaba
2158,CRA,aimara,inti,no,2,2,wool,1,Charcas,yes,0,Charcas,2942,cuiaba
2159,CYA,chachapoyan,inti,no,1,1,grain,1,Kuelap,yes,0,Chachapoyas,2943,lima
2160,Unowned,maipurean,inti,no,1,1,unknown,1,Ucayali,no,0,Ucayali,2944,lima
2161,SPA,jivaro,animism,no,1,1,unknown,1,Yurimaguas,yes,0,Yurimaguas,2945,lima
2162,PCJ,aimara,inti,no,2,2,gold,1,Quillacas,yes,0,Quillacas,2946,cuiaba
2163,CLA,aimara,inti,no,2,2,grain,1,Macaya,yes,0,Macaya,2947,cuiaba
2164,NDO,mbundu,Unowned,no,2,2,slaves,2,Matamba,yes,0,Matamba,2948,kongo
2165,KON,kongolese,Unowned,no,2,2,grain,1,Mbata,yes,0,Mbata,2949,kongo
2166,MOS,russian,orthodox,no,6,6,iron,5,Moskva,yes,2,Moskva,295,
2167,ZIM,shona,shamanism,no,1,1,ivory,1,Buhera,yes,0,Buhera,2950,zambezi
2168,ZIM,shona,shamanism,no,2,2,ivory,1,Masakesa,yes,0,Manikya,2951,zambezi
2169,ZIM,shona,shamanism,no,1,1,ivory,1,Madanda,yes,0,Madanda,2952,zambezi
2170,Unowned,Unowned,Unowned,no,0,0,,0,LakeHjalmaren,no,0,LakeHjalmaren,2953,
2171,TUN,tunisian,ibadi,no,1,1,grain,1,Djerba,yes,1,Djerba,2954,tunis
2172,ING,bavarian,catholic,yes,5,5,,3,Ingolstadt,yes,0,Ingolstadt,2955,
2173,UBV,bavarian,catholic,yes,3,3,glass,3,Straubing,yes,0,Straubing,2956,
2174,REG,bavarian,catholic,yes,5,5,,3,Regensburg,yes,2,Regensburg,2957,
2175,TEU,prussian,catholic,no,2,2,naval_supplies,1,Osterode,yes,0,Osterode,2958,baltic_sea
2176,POL,polish,catholic,no,3,3,grain,2,Tarnów,yes,0,Tarnow,2959,krakow
2177,MOS,russian,orthodox,no,3,3,grain,2,Kaluga,yes,0,Kaluga,296,kiev
2178,POL,polish,catholic,no,6,6,iron,2,Sadecki,yes,0,Sadecki,2960,krakow
2179,POL,ruthenian,orthodox,no,5,5,,2,Lwow,yes,1,Lwow,2961,krakow
2180,LIT,ruthenian,orthodox,no,1,1,livestock,1,Rowne,yes,0,Rowne,2962,kiev
2181,POL,polish,catholic,no,1,1,livestock,1,Naklo,yes,0,Notec,2963,krakow
2182,BRA,saxon,catholic,yes,4,4,cloth,2,Stendal,yes,0,Altmark,2964,
2183,THU,saxon,catholic,yes,3,3,wool,1,Plauen,yes,0,Vogtland,2965,
2184,GLG,schlesian,catholic,yes,3,4,iron,2,Glogau,yes,0,Glogau,2966,krakow
2185,BOH,czech,catholic,yes,4,4,,2,Cheb,yes,0,Eger,2967,
2186,BOH,czech,catholic,yes,3,3,grain,2,Budejovice,yes,0,Budejovice,2968,
2187,BRA,saxon,catholic,yes,3,3,cloth,1,Sternberg,yes,0,Sternberg,2969,
2188,LIT,ryazanian,orthodox,no,2,2,grain,1,Bryansk,yes,0,Bryansk,297,kiev
2189,BOH,czech,hussite,yes,3,3,grain,2,Hradecko,yes,0,Hradecko,2970,
2190,BRU,hannoverian,catholic,yes,2,2,livestock,1,Hoya,yes,0,Hoya,2971,
2191,KOL,hannoverian,catholic,yes,2,2,wool,1,Paderborn,no,0,Paderborn,2972,
2192,MUN,hannoverian,catholic,yes,3,3,cloth,1,Meppen,yes,0,Meppen,2973,
2193,LIE,flemish,catholic,yes,5,5,cloth,2,Borgloon,yes,0,Loon,2974,english_channel
2194,KLE,hessian,catholic,yes,5,5,cloth,4,Kleves,yes,0,Kleves,2975,
2195,PGA,umbrian,catholic,no,3,4,wine,1,Perugia,yes,0,Umbria,2976,genua
2196,URB,umbrian,catholic,no,5,5,grain,2,Urbino,yes,1,Urbino,2977,venice
2197,LAN,tuscan,catholic,yes,6,6,livestock,2,Arezzo,no,0,Arezzo,2978,genua
2198,MLO,lombard,catholic,yes,3,4,grain,2,Novara,no,0,Novarra,2979,genua
2199,LIT,ryazanian,orthodox,no,2,1,grain,1,Kursk,yes,0,Kursk,298,kiev
2200,LUC,tuscan,catholic,yes,6,6,cloth,2,Lucca,no,1,Lucca,2980,genua
2201,MFA,piedmontese,catholic,yes,5,5,wine,2,Montferrat,yes,0,Montferrat,2981,genua
2202,SIC,sicilian,catholic,no,4,4,wine,2,Syracusa,yes,0,Syracuse,2982,genua
2203,NAP,neapolitan,catholic,no,5,1,fish,4,Salerno,no,0,Salerno,2983,genua
2204,NAP,neapolitan,catholic,no,2,2,wine,1,Cosenza,yes,0,Costenza,2984,genua
2205,NAP,neapolitan,catholic,no,2,3,livestock,2,Foggia,yes,0,Capitanata,2985,venice
2206,SAR,sardinian,catholic,no,3,3,copper,1,Cagliari,no,0,Cagliari,2986,genua
2207,FRA,catalan,catholic,no,3,3,wool,2,Tàrrega,yes,0,Urgell,2987,valencia
2208,SPA,catalan,catholic,no,3,2,wine,2,Taragona,yes,0,Tarragona,2988,valencia
2209,SPA,castillian,catholic,no,2,2,wine,1,Logroño,yes,0,Rioja,2989,bordeaux
2210,GOL,mishary,sunni,no,3,3,livestock,2,Voronezh,yes,0,Voronezh,299,kiev
2211,SPA,aragonese,catholic,no,3,3,iron,3,Teruel,yes,0,Teruel,2990,valencia
2212,PRO,occitain,catholic,no,3,3,wool,2,Forcalquier,yes,0,Draguignan,2991,genua
2213,GEN,ligurian,catholic,yes,6,6,naval_supplies,1,Albenga,no,0,Albenga,2992,genua
2214,BRA,pommeranian,catholic,yes,4,3,cloth,1,Prenzlau,yes,0,Uckermark,2993,
2215,WOL,pommeranian,catholic,yes,3,2,salt,2,Wolgast,yes,0,Wolgast,2994,
2216,WOL,pommeranian,catholic,yes,2,2,fish,1,Stolp,yes,0,Stolp,2995,
2217,MKL,pommeranian,catholic,yes,2,2,cloth,2,Wismar,yes,0,Wismar,2996,
2218,TEU,prussian,catholic,no,3,4,grain,3,Tuchel,yes,0,Pomorskie,2997,baltic_sea
